InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
578678,79160,HEART SHAPE WIRELESS DOORBELL,1,11/24/2011 19:59,2.1,17841.0,United Kingdom
558876,21179,NO JUNK MAIL METAL SIGN,3,7/4/2011 13:36,0.39,17841.0,United Kingdom
557057,23110,PARISIENNE KEY CABINET ,4,6/16/2011 14:46,5.75,16843.0,United Kingdom
558485,20723,STRAWBERRY CHARLOTTE BAG,1,6/30/2011 10:11,0.85,,United Kingdom
548163,22526,WHEELBARROW FOR CHILDREN ,1,3/29/2011 13:43,24.96,,United Kingdom
559706,21287,SCENTED VELVET LOUNGE CANDLE ,72,7/12/2011 10:02,0.38,16609.0,United Kingdom
579550,21154,RED RETROSPOT OVEN GLOVE ,10,11/30/2011 10:48,1.25,12630.0,Finland
562593,22596,CHRISTMAS STAR WISH LIST CHALKBOARD,12,8/7/2011 15:43,1.25,16549.0,United Kingdom
558028,22374,AIRLINE BAG VINTAGE JET SET RED,4,6/24/2011 11:39,4.25,15128.0,United Kingdom
543022,44089A,PINK GAUZE BUTTERFLY LAMPSHADE,4,2/2/2011 14:37,0.42,16771.0,United Kingdom
555560,20724,RED RETROSPOT CHARLOTTE BAG,6,6/5/2011 14:20,0.85,17346.0,United Kingdom
577297,23570,TRADITIONAL PICK UP STICKS GAME ,2,11/18/2011 12:48,1.25,14593.0,United Kingdom
563017,23204,CHARLOTTE BAG APPLES DESIGN,10,8/11/2011 12:48,0.85,13198.0,United Kingdom
578292,22959,WRAP CHRISTMAS VILLAGE,25,11/23/2011 14:35,0.42,13174.0,United Kingdom
547397,20711,JUMBO BAG TOYS ,1,3/22/2011 16:55,4.13,,United Kingdom
540247,21260,FIRST AID TIN,1,1/5/2011 15:56,3.25,15464.0,United Kingdom
537773,22926,IVORY GIANT GARDEN THERMOMETER,2,12/8/2010 12:36,5.95,16016.0,United Kingdom
542794,21231,SWEETHEART CERAMIC TRINKET BOX,1,2/1/2011 10:56,2.46,,United Kingdom
537044,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/5/2010 10:52,2.95,18055.0,United Kingdom
566060,23404,HOME SWEET HOME BLACKBOARD,2,9/8/2011 15:27,10.79,,United Kingdom
544065,48187,DOORMAT NEW ENGLAND,4,2/15/2011 13:52,7.95,14346.0,United Kingdom
541695,84968C,SET OF 16 VINTAGE PISTACHIO CUTLERY,5,1/20/2011 18:01,8.29,,United Kingdom
572194,22115,METAL SIGN EMPIRE TEA,1,10/21/2011 11:43,0.79,17832.0,United Kingdom
578928,23323,WHITE WICKER STAR ,4,11/27/2011 12:29,2.1,15443.0,United Kingdom
C554717,84949,SILVER HANGING T-LIGHT HOLDER,-12,5/26/2011 11:04,1.45,13089.0,United Kingdom
554511,90214A,"LETTER ""A"" BLING KEY RING",1,5/24/2011 15:52,0.83,,United Kingdom
546643,22722,SET OF 6 SPICE TINS PANTRY DESIGN,4,3/15/2011 13:23,3.95,16214.0,United Kingdom
577331,23221,REINDEER HEART DECORATION SILVER,48,11/18/2011 14:23,0.83,14667.0,United Kingdom
547382,22557,PLASTERS IN TIN VINTAGE PAISLEY ,2,3/22/2011 15:31,1.65,15457.0,United Kingdom
549918,22982,PANTRY PASTRY BRUSH,12,4/13/2011 9:48,1.25,17017.0,United Kingdom
569415,22549,PICTURE DOMINOES,1,10/4/2011 10:14,2.46,,United Kingdom
566849,23209,LUNCH BAG VINTAGE DOILY ,10,9/15/2011 12:03,1.65,16341.0,United Kingdom
572193,23340,VINTAGE CHRISTMAS CAKE FRILL,240,10/21/2011 11:33,1.65,15061.0,United Kingdom
581219,21544,SKULLS  WATER TRANSFER TATTOOS ,1,12/8/2011 9:28,1.63,,United Kingdom
576365,23201,JUMBO BAG ALPHABET,158,11/14/2011 17:55,4.95,,United Kingdom
553946,23093,SMALL PARISIENNE HEART PHOTO FRAME ,8,5/20/2011 10:48,2.49,15601.0,United Kingdom
556408,21902,"KEY FOB , FRONT  DOOR ",1,6/10/2011 11:54,0.65,13533.0,United Kingdom
560451,23296,SET OF 6 TEA TIME BAKING CASES,16,7/19/2011 9:50,1.25,14911.0,EIRE
561917,21930,JUMBO STORAGE BAG SKULLS,1,8/1/2011 11:57,2.08,16904.0,United Kingdom
567865,23508,MINI PLAYING CARDS DOLLY GIRL ,20,9/22/2011 14:11,0.42,17311.0,United Kingdom
